"Freq [GHz]","AbsorbanceTM_1 []"
70,0.000950833396479167
70.1,0.000929657993202326
70.2,0.000912250686302074
70.3,0.000897806083380193
70.4,0.000885629246634267
70.5,0.000875126274153204
70.6,0.00086579515898344
70.7,0.000857216959036511
70.8,0.000849047306567985
70.9,0.000841008280275113
71,0.000832880659912605
71.1,0.000824496578244904
71.2,0.000815732583037354
71.3,0.000806503116943968
71.4,0.000796754422316193
71.5,0.000786458875233542
71.6,0.00077560975197366
71.7,0.000764216432681653
71.8,0.000752300049116417
71.9,0.000739889589558396
72,0.000727018486630815
72.1,0.000713721734524664
72.2,0.000700033619625007
72.3,0.00068598621392757
72.4,0.00067160889557949
72.5,0.000656929366874892
72.6,0.000641977020178985
72.7,0.000626790220068507
72.8,0.000611430485640718
72.9,0.000596009457625724
73,0.000580740812566427
73.1,0.000566043717922793
73.2,0.000552760188275547
73.3,0.000542645876610237
73.4,0.000539590339746931
73.5,0.000553075503934575
73.6,0.000609982233887307
73.7,0.000808269873209366
73.8,0.00172645249946768
73.9,0.0182468355737994
74,0.00907828246180065
74.1,0.00167856675822875
74.2,0.000788809122598488
74.3,0.000484746847859485
74.4,0.00038214004223236
74.5,0.000622390621102586
74.6,0.00289193341875504
74.7,0.0384703967473062
74.8,0.0194447643642666
74.9,0.00668860470615817
75,0.0039635919829476
75.1,0.00290024025267244
75.2,0.00235231172610828
75.3,0.00202229222171024
75.4,0.00180274139687697
75.5,0.00164628544694334
75.6,0.00152903859999109
75.7,0.00143774118292794
75.8,0.00136448082685292
75.9,0.00130426387396487
76,0.00125379513742163
76.1,0.00121082015219809
76.2,0.00117374962421268
76.3,0.00114143442533776
76.4,0.00111302513483569
76.5,0.00108788118508141
76.6,0.00106551023339263
76.7,0.00104552657639756
76.8,0.00102762192623485
76.9,0.00101154443737916
77,0.000997083385926301
77.1,0.000984057824317319
77.2,0.000972308105636088
77.3,0.000961689539048738
77.4,0.000952067675229373
77.5,0.000943314879374046
77.6,0.000935307956290155
77.7,0.000927926666642653
77.8,0.000921053022756801
77.9,0.000914571290692945
78,0.000908368649163216
78.1,0.000902336474912779
78.2,0.000896372238059717
78.3,0.000890381998621348
78.4,0.000884283504177685
78.5,0.000878009891668863
78.6,0.000871514000044815
78.7,0.000864773302729382
78.8,0.000857795468776623
78.9,0.000850624562988789
79,0.000843347892996671
79.1,0.000836103512107278
79.2,0.000829088383013876
79.3,0.000822567206759439
79.4,0.000816881917392487
79.5,0.000812461840051903
79.6,0.000809834506190876
79.7,0.000809637115277151
79.8,0.000812628626731593
79.9,0.000819702460790328
80,0.000831899780271317
